2020/06/01 12:00:15.492494,233.949,0.6,ETH/USDT,asksale
2020/06/01 12:00:15.492494,233.949,0.6,ETH/USDT,asksale
2020/06/01 12:00:15.492494,233.949,0.6,ETH/USDT,asksale
2020/06/01 12:00:15.492494,233.949,0.6,ETH/USDT,asksale
2020/06/01 12:00:20.498077,0,200,DOGE,deposit
2020/06/01 12:00:20.498077,0,150,ETH,deposit
2020/06/01 12:00:20.498077,0,25,BTC,deposit
2020/06/01 12:00:20.498077,9498.53,0.00147432,BTC/USDT,ask
2020/06/01 12:00:20.498077,9498.53,0.00147432,BTC/USDT,ask
2020/06/01 12:00:20.498077,9498.53,0.00147432,BTC/USDT,ask
2020/06/01 12:00:20.498077,9498.53,0.00147432,BTC/USDT,ask
2020/06/01 12:00:20.498077,9498.53,0.00147432,BTC/USDT,ask
2020/06/01 12:00:20.498077,9590.91,1.3886,BTC/USDT,bid
2020/06/01 12:00:20.498077,9590.91,1.3886,BTC/USDT,bid
2020/06/01 12:00:20.498077,9590.91,1.3886,BTC/USDT,bid
2020/06/01 12:00:20.498077,9590.91,1.3886,BTC/USDT,bid
2020/06/01 12:00:20.498077,9590.91,1.3886,BTC/USDT,bid
2020/06/01 12:00:20.498077,7.6e-07,1939.89,DOGE/BTC,bid
2020/06/01 12:00:20.498077,7.6e-07,1939.89,DOGE/BTC,bid
2020/06/01 12:00:20.498077,7.6e-07,1939.89,DOGE/BTC,bid
2020/06/01 12:00:20.498077,7.6e-07,1939.89,DOGE/BTC,bid
2020/06/01 12:00:20.498077,7.6e-07,1939.89,DOGE/BTC,bid
2020/06/01 12:00:20.498077,0.00276,4.82535e+06,DOGE/USDT,bid
2020/06/01 12:00:20.498077,0.00276,4.82535e+06,DOGE/USDT,bid
2020/06/01 12:00:20.498077,0.00276,4.82535e+06,DOGE/USDT,bid
2020/06/01 12:00:20.498077,0.00276,4.82535e+06,DOGE/USDT,bid
2020/06/01 12:00:20.498077,0.00276,4.82535e+06,DOGE/USDT,bid
2020/06/01 12:00:20.498077,0.0251968,0.0585123,ETH/BTC,bid
2020/06/01 12:00:20.498077,0.0251968,0.0585123,ETH/BTC,bid
2020/06/01 12:00:20.498077,0.0251968,0.0585123,ETH/BTC,bid
2020/06/01 12:00:20.498077,0.0251968,0.0585123,ETH/BTC,bid
2020/06/01 12:00:20.498077,0.0251968,0.0585123,ETH/BTC,bid
2020/06/01 12:00:20.498077,240.66,55.3393,ETH/USDT,bid
2020/06/01 12:00:20.498077,240.66,55.3393,ETH/USDT,bid
2020/06/01 12:00:20.498077,240.66,55.3393,ETH/USDT,bid
2020/06/01 12:00:20.498077,240.66,55.3393,ETH/USDT,bid
2020/06/01 12:00:20.498077,240.66,55.3393,ETH/USDT,bid
2020/06/01 12:00:20.498077,9498.53,0.00147432,BTC/USDT,asksale
2020/06/01 12:00:20.498077,9498.53,0.00147432,BTC/USDT,asksale
